RA,DEC
0.01486736,2.41890343
0.04288599,6.80891047
0.09811612,2.6013213
0.26049863,2.70342457
0.27004774,-4.22266194
0.29129802,-4.01806993
0.29201795,17.73362036
0.68567009,-0.73964653
0.70352983,-5.0947931
0.71148783,-5.85002742
0.76779542,4.05005785
0.81729939,-5.01134007
0.820998,-5.08302861
0.83224469,-5.05009
0.84675647,-0.99421733
0.86833934,0.20723852
0.87245439,-5.04075761
0.88794384,28.98233276
0.93722687,-5.6166944
1.12949849,-4.16480587
1.16142824,-4.41782719
1.24301331,-3.83126655
1.54955356,1.21020437
1.62587262,-0.30262287
1.65254655,-4.15624895
1.65821571,-4.04247579
1.66738567,24.04019524
1.6689779,-5.94406391
1.69784294,27.5860034
1.91322824,24.8790335
1.96891957,-4.59781297
1.9821763,-4.67111502
10.00849354,8.95340786
10.12157255,16.07116834
10.20769674,19.87054751
10.23420215,7.67464361
10.31717979,-0.8674607
10.4588829,-0.87792944
10.5518493,-0.71432294
10.60571325,16.03925486
10.61768851,14.17076099
10.74511571,0.73067933
10.75092844,14.2323013
10.7576372,29.72857238
10.79054756,14.23583126
10.79707526,14.20713179
10.83568144,14.27297562
10.86456801,0.76264121
10.90742955,-0.59166508
10.92074408,14.37632305
10.92398833,14.07102837
10.95557069,27.58916502
10.97084671,-0.76360615
10.99022224,0.03795882
100.07482459,0.48353301
100.15268422,38.47240561
100.42252124,38.01423193
100.59773402,36.47730062
100.69872047,36.75820778
100.87650106,0.49678911
100.91270801,38.67426986
100.9539603,37.43282185
101.00382286,36.23158269
101.18039045,36.37788628
101.77109288,37.47212213
101.81839113,37.65825436
101.89518331,37.40815759
101.91007359,0.47582381
101.99823238,38.50049269
102.00998626,38.03500389
102.01430673,37.06660576
102.01970935,36.95066779
102.03976793,38.1472407
102.56503892,38.0371255
102.79752872,38.36609751
102.82109306,38.33798221
102.91633166,37.89394664
103.23419879,28.9369723
103.23727622,28.98329829
109.58130929,39.38127437
109.60434654,40.50602855
109.8154508,37.66997048
109.95548713,39.15702106
11.10074435,8.2519354
11.38222392,14.74800466
11.38465879,14.82881843
11.45377473,0.89503228
11.48823164,0.37407249
11.81520775,24.18799793
11.83188229,28.50826425
110.23398486,37.06827802
110.27664996,41.33479289
110.39761355,41.32437193
110.4616705,40.14154089
110.50548413,40.53617814
110.67657867,37.50087269
110.88818362,36.74388018
110.93358449,30.31115448
110.94964218,36.65079036
110.98249187,36.66258224
111.01615755,30.38770913
111.02726717,39.30048389
111.07774618,36.6654487
111.11380008,39.70935168
111.14956779,38.82171526
111.17485232,36.68430109
111.17912408,39.72974788
111.4747909,39.0859848
111.65218944,39.69592542
111.70880022,41.8954461
111.72099419,37.11823101
111.80587792,15.16426385
111.95880521,39.87475808
112.02221615,15.27949906
112.09452508,15.2388451
112.09808753,41.09289211
112.11500069,39.5763694
112.14916839,37.34740465
112.16753098,37.35711496
112.21081283,37.39307336
112.29336944,40.01628061
112.29958116,38.5133424
112.31295468,38.66422839
112.33876202,41.65946299
112.43972291,40.73794052
112.4627944,41.54901339
112.49489622,41.63815264
112.58297853,15.72977717
112.59883849,44.99199997
112.64691057,40.95931402
112.7260278,15.55314421
112.74813152,43.08013441
112.83186929,40.52803265
112.84238544,40.39611169
112.8555623,40.05355775
112.8657668,16.49146749
113.00824329,15.06588773
113.01068911,16.43877821
113.02884914,35.50136027
113.03590907,14.98649043
113.04280699,16.59874814
113.07791044,16.49645709
113.11774233,15.03980504
113.20857289,35.4909395
113.21808194,16.25738571
113.29380668,36.89712486
113.31607127,31.30348291
113.36614623,28.90868765
113.38778213,41.40880674
113.39755343,40.38673947
113.43250987,26.00332399
113.52185809,32.05426935
113.55539396,20.74077937
113.62510539,27.75304321
113.64748497,21.74027519
113.65952038,26.97588099
113.66947539,16.56933327
113.74850868,43.42818268
113.77641368,15.57401001
113.80720331,40.14158204
113.81748161,40.12784459
113.82043407,26.95011698
113.82347522,15.47752666
113.83630764,36.97270868
113.85455484,37.82952888
113.85597415,36.72489865
113.85874403,36.75831172
113.8587832,22.3514799
113.87362419,40.09341697
113.87430342,32.77627016
113.88063377,27.83543091
113.8825387,15.43369088
113.92869643,20.90418611
113.93581413,27.89714789
113.96341708,22.36962651
113.96396314,43.59052122
113.96916056,32.20719253
113.97268382,32.26411524
113.97945135,20.6997664
113.98251063,20.40063408
114.02449731,37.82133116
114.04932614,38.39467928
114.05391064,39.11660155
114.11674634,19.94289897
114.12519216,40.43983895
114.15268944,20.96026099
114.1646552,32.49551087
114.16737685,22.53855003
114.20341011,32.48821819
114.25547483,37.16860751
114.34392759,16.22138123
114.3489147,15.16388411
114.40471876,31.33496713
114.40756524,20.40316452
114.41900386,21.67278954
114.47937508,15.68466759
114.49038208,26.81407979
114.52475806,34.65015928
114.52873417,45.01312884
114.60737358,22.08185355
114.64160993,22.15826229
114.65688489,27.00008023
114.66325748,28.83045333
114.67770058,28.31090808
114.69402796,28.50394956
114.74146212,21.71681813
114.75637291,32.53365927
114.75657663,45.05503738
114.78941669,28.56163198
114.79773849,31.18617693
114.85014252,18.41326941
114.88605728,17.95002959
114.89726279,20.68708274
114.91274246,41.04943208
114.9465006,17.57523477
114.99219068,44.611068
115.00996054,44.71396448
115.04377565,28.68914601
115.09112452,21.41163656
115.09185642,17.50457287
115.10772039,22.63136815
115.12350581,22.26556808
115.14974599,17.64312101
115.15719837,22.35658801
115.19412225,17.64906408
115.2709222,28.1972863
115.29775306,48.97264944
115.34457508,21.77390859
115.4084706,22.05639585
115.42202623,43.16060586
115.43253467,42.92266785
115.47352232,30.89497368
115.47514851,47.84334181
115.50271713,48.30633089
115.52753201,44.8068098
115.53171817,31.25679401
115.5859939,48.96145592
115.62307487,22.13105745
