RA,DEC
0.00907499,24.15248885
0.03119164,-2.36102963
0.03165629,24.49922087
0.15432027,-8.91600565
0.53604583,6.01526505
0.77941814,24.20324269
0.89710283,0.84983924
1.35006803,-3.78002508
1.42777101,-6.41886414
1.46678011,6.82226656
1.56184816,35.64422005
1.59700749,26.17404338
1.89228821,-5.05359395
1.9153446,24.75964665
10.06834729,16.70114117
10.28112611,31.53074564
10.38922531,-0.39356433
10.5139987,15.64452131
10.53114489,-0.71195222
10.72745142,0.29927741
10.96080839,10.06963655
100.03627079,0.26473013
100.06945308,0.42570123
100.13585825,-0.83530709
100.58659766,0.91780153
100.62177551,37.07032017
100.6480948,-0.85153684
100.74684983,-0.77026454
100.77653758,0.58899281
101.03722542,-0.00245591
101.1078572,36.39176281
101.1938982,28.25563317
101.2296313,-0.45764379
101.66484063,0.89684771
101.68598514,-0.71555795
101.73284648,27.07254165
101.84836973,0.43444341
102.00276395,37.11507288
102.0376597,-0.34841886
102.08532281,0.5757636
102.31714155,38.57213862
102.38466033,-0.25564227
102.68458882,38.5260333
103.21599859,29.00645938
108.66882531,38.72002076
109.77774776,40.02327484
109.92422612,41.34875059
11.10239476,-0.46213673
11.17298118,15.13210231
11.29163978,-7.95534372
11.38074842,-2.37190705
11.40175835,35.90856147
11.54301686,25.92785661
11.63857348,15.78984091
110.96445787,30.32125837
111.1340542,38.81479893
111.56120162,41.96361071
111.58659324,37.09380432
111.9698345,32.23780334
112.15436333,32.6285837
112.43393088,31.57806967
112.51643091,24.41389563
112.585377,37.60653294
112.59701618,32.05775666
113.08392149,27.06905549
113.20377861,33.41056369
113.27896819,15.11273134
113.35671592,36.88268733
113.47036642,65.31055068
113.51759861,16.00057256
113.68381667,25.21295044
113.74257663,31.46666592
113.80855545,45.87995617
113.96364261,24.78196355
113.97492634,36.73357543
113.99766088,32.46215641
114.19316926,22.02109993
114.22918807,16.30141811
114.25608657,22.94382209
114.27159934,36.79619007
114.41272277,34.61370656
114.44047421,38.83524486
114.51485293,64.85143021
114.63599204,40.41430992
114.70799028,38.92744204
114.72895874,37.0047151
114.80239869,22.88656448
114.92395421,48.6805311
114.96377798,41.15035736
114.98235182,19.20730326
114.99408027,17.97622049
115.04665134,28.26545202
115.05512169,48.17677722
115.0981959,20.82694913
115.10203516,44.65195671
115.47167612,29.65428141
115.56726171,24.90566349
115.65742225,22.97205412
115.80520176,42.55967555
115.84997862,25.29502097
115.94266645,18.93036041
115.94979439,33.69481431
115.97590009,45.61475336
116.19798428,18.15034253
116.39056785,37.41629298
116.39234721,37.45517023
116.47480783,40.27799965
116.49496656,24.84474669
116.53972182,33.95563505
116.54245265,34.81367609
116.64457785,29.46149792
116.66442343,41.51427447
116.70897749,27.7373866
116.81205596,22.0079827
116.82414864,19.0793498
116.83580865,38.81962486
116.87826091,83.63436701
117.02562453,34.49102102
117.03049586,19.5465876
117.03302169,19.976576
117.047235,43.87766251
117.1044341,35.36783067
117.1416089,23.02210932
117.19713939,38.6395272
117.26315622,27.53448447
117.26601173,33.08598413
117.39716946,41.71582957
117.48299044,34.64639714
117.49037462,34.35403991
117.6298236,35.75922895
117.85128923,35.39951265
117.89253333,9.43186897
117.96948385,34.28845963
118.01434694,67.12797422
118.04804006,24.46847874
