RA,DEC
0.01283161,24.65025116
0.02470601,0.97324218
0.06744517,24.2375665
0.32180067,-4.25280847
0.41355581,23.94685631
0.59492071,-4.90601995
0.63005428,-0.60476201
0.64097341,-0.76500529
0.65291799,-6.22773229
0.65629991,-5.93111326
0.70660143,-4.82449568
0.75999403,24.19847871
0.80165549,-5.89441088
0.96552044,0.99179351
0.96723287,27.93603755
1.00582916,24.3228267
1.10746574,27.86302247
1.13764544,27.92168978
1.27729971,-4.39928523
1.31238216,-6.36361276
1.4073351,-3.84816369
1.46391335,-5.17819534
1.50260077,26.06920879
1.52023232,-5.34391263
1.53447194,-5.38600741
1.56546177,-4.25520842
1.57040368,-5.34333179
1.57190937,-5.95878049
1.60909758,28.30599202
1.63622515,0.56091705
1.64274621,-5.88949302
1.69902671,0.62266026
1.72538052,-4.12655183
1.92376383,0.98498919
10.12972021,0.91897113
10.37084746,14.10614115
10.38348001,14.26746135
10.42319624,16.08820118
10.44986113,13.7264774
10.46590986,-0.28845939
10.48177059,0.36181667
10.48596234,16.11901139
10.50696211,16.08458826
10.5077339,0.71568098
10.51734075,-0.81749396
10.600181,14.56294026
10.77990719,0.40103018
10.92193182,15.27376672
10.9360812,0.64997064
10.98746579,0.93742095
100.57278878,36.60270126
100.75024683,37.95696635
100.78255988,37.90483922
101.21514881,36.34467088
101.285493,38.02823362
101.58222071,37.46240261
101.62550229,37.1904424
101.77677157,37.50220941
101.99219951,38.27054817
102.05521949,37.06963994
102.10592749,38.39553299
102.11120633,38.08659872
102.18527266,37.68674961
102.40447738,37.23406275
102.63507963,38.56065273
103.29107315,28.97567466
105.12269569,11.47503065
105.17371742,11.45905298
105.98207081,13.35506418
105.98999462,13.5568539
106.28911234,12.09786017
106.30359897,12.12948342
109.17233612,39.94122067
109.68271042,40.59111682
109.75071501,37.73537023
109.9017783,37.78322668
11.03403123,0.45341321
11.05430642,-0.83000702
11.06677486,0.00809228
11.08930885,-0.00040808
11.10512698,-0.14992277
11.12483734,-0.51249167
11.13189482,-0.49668718
11.16138738,0.66182898
11.32002119,1.1769736
11.34923786,0.05738547
11.37174619,0.9725479
11.38606635,14.82852166
11.50194243,-0.18493657
11.50237933,-0.06143264
11.51062867,0.22765661
11.51501122,-0.31141865
11.56434024,0.37895205
11.60949746,0.41013533
11.62555509,15.82293214
11.68230501,-0.97797334
11.69924989,-0.67130704
11.76472979,0.22747429
11.81173876,24.05627755
11.87116153,14.54944271
110.175013,38.23527916
110.25793623,38.32668115
110.29492333,36.96445815
110.31474679,36.97174655
110.42166734,40.20834184
110.56466759,40.53883909
110.79082539,36.73198313
110.82206772,39.00822185
110.86077394,36.7098309
110.8687765,37.87080932
110.87654405,39.00498779
110.95905171,37.84796814
111.06392997,36.74060992
111.13649482,37.86453608
111.26189941,36.69856383
111.4160444,39.02121995
111.74155508,39.84744801
111.92444265,41.08202861
111.98884634,36.51203594
111.99325695,15.84732335
112.03886533,36.49149875
112.07718539,41.08782514
112.08829517,41.86942499
112.12330824,37.49633173
112.13754658,41.05805078
112.15072424,41.02915482
112.15663954,41.68994748
112.17595997,36.41910974
112.17941168,37.43492184
112.17958836,41.49474817
112.21196666,38.60483533
112.22645898,41.00911179
112.23866503,41.62775795
112.25095705,40.80892411
112.25528379,16.84700413
112.30145833,31.53136262
112.30454723,38.67124065
112.34960803,31.58664302
112.42465317,41.59380629
112.46474202,41.6175503
112.49638629,40.65730994
112.54134268,15.88010443
112.56494558,15.72543843
112.58278432,15.70752243
112.59060074,43.40261707
112.65534773,37.71328136
112.67359026,15.69588262
112.75540905,38.39485138
112.78340078,41.44120302
112.82929186,40.31534115
112.92690768,42.07598966
112.95770307,35.47350311
112.98837478,42.14529465
113.03209218,16.45243473
113.11122543,16.66209664
113.12661214,35.42640269
113.14126072,16.45623953
113.15338687,16.32584952
113.16790529,31.81961239
113.20175246,16.18052189
113.22860698,21.59943884
113.27832424,36.84548634
113.28301906,16.73343689
113.2928803,21.53689474
113.29734753,39.04027519
113.31099373,36.94588791
113.31381946,15.10973178
113.31597215,28.878014
113.31762491,41.62309215
113.33383664,36.93146055
113.36638404,28.96043535
113.36651598,27.32997397
113.38793407,41.39265485
113.5028577,40.43314474
113.57610738,21.686982
113.6268774,43.76978074
113.655975,28.58681639
113.67781049,21.97881266
113.71140681,21.79349238
113.7337216,20.72487378
113.78442403,22.35403187
113.79406782,20.39060184
113.80424733,22.11143129
113.86824018,39.97309477
113.9455106,36.76226434
114.02622701,39.9793703
114.05079239,20.62630371
114.10255725,21.75458904
114.12006433,20.41362721
114.12095109,22.45261394
114.13943567,15.04865261
114.23109673,21.54844441
114.24139038,22.24897039
114.24370541,22.4112681
114.24613114,37.30114715
114.27519425,22.47346689
114.27813082,22.43954699
114.28044762,40.95929111
114.29070229,22.40597316
114.30058089,43.70338427
114.327113,15.14048128
114.33940075,20.60141405
114.37476943,27.46964911
114.37779788,40.86664528
114.41909785,15.63589459
114.49032102,21.73392914
114.54334914,41.4072757
114.54984701,21.72184516
114.55099867,21.74088161
114.55116151,20.12534838
114.56444628,20.19890135
114.58139434,21.77038249
114.59143718,21.67427231
114.63393117,21.78540787
114.63974345,22.44804477
114.64204119,21.65158796
114.6483915,33.00781505
114.65891435,21.77944248
114.6601604,21.61322421
114.67199325,21.63008643
114.67575125,44.51440936
114.6788816,21.70393237
114.68321259,27.03293894
114.71188268,64.98592866
114.71696756,27.04263421
114.71739355,20.51102392
114.72312897,21.74964078
114.72847944,22.08285045
114.73145538,40.27807896
114.73735388,21.68248558
114.74076944,64.934703
114.74752285,28.39237439
114.75761001,18.44942991
114.77152831,21.68482087
114.77434346,17.95945895
114.79880156,27.06668264
114.80174813,17.92527093
114.82445664,44.4841875
114.85922676,18.45876232
114.88165185,39.71051014
114.89449543,21.75749976
114.90188964,17.89864481
114.90234833,21.6991729
114.90866509,17.53963353
114.93378139,17.93826035
114.94266889,21.77503283
114.96017944,21.35979976
114.97197662,21.76148239
114.97352905,21.40025744
114.97609042,21.62183776
114.9793222,38.52760859
114.9816854,21.37992447
115.00419242,17.44163184
115.04833931,22.15887104
115.05530856,38.26152015
115.05905299,21.95685427
115.06026483,40.10851712
115.07488025,20.91095969
115.09600907,38.19811385
115.09705608,22.29183114
115.1689385,22.42805541
115.1731031,20.86900791
115.1965629,17.65755347
115.21028215,19.16726673
115.21915752,21.16800485
115.2447299,29.35434161
115.26553796,22.45384175
115.26946225,65.53491118
115.27570203,39.76735764
115.27899817,30.67855317
115.31597638,22.0518425
115.34426679,22.03856908
115.34651657,21.1961828
115.34780545,21.62187054
115.37149281,21.30248204
115.38592049,30.63900106
115.43453388,25.12913881
115.45984804,21.27844777
115.46275986,44.05444465
115.64151454,42.53497062
115.66983448,44.80335983
115.67173385,28.87260579
115.69826966,22.07808161
115.73550764,17.91880637
115.74232839,25.31586291
115.77451666,17.23488956
115.78898213,44.36246081
115.8029545,17.7021424
115.83156345,17.09092436
115.85252234,19.5281299
115.8572362,42.55095841
115.85746916,17.71699442
115.86288408,19.58554209
115.87131394,17.60840899
115.89173831,17.73420032
115.89240398,28.76360469
115.89523537,17.67442623
115.91004718,38.36348571
115.91241247,18.23616385
115.91322224,17.73204039
115.92035337,44.4528505
115.92199416,43.70006617
115.92693529,29.49104995
115.92726536,17.67100684
115.93087847,28.73984777
115.9780829,29.43829192
116.02111314,28.37344198
116.04357333,18.87848405
116.08430603,17.46720918
116.0847973,28.79533401
116.12233419,42.09549207
116.15896095,18.1146965
116.19057192,18.45044766
116.24526238,18.94271905
116.27511092,28.75643331
116.41118535,18.06288659
116.42098436,35.92378693
116.48120267,29.81846784
116.49935127,19.06311964
116.51343156,29.7846103
116.51670916,29.86232377
116.52661501,30.03971887
116.53852799,34.80650611
116.54635143,29.8172336
116.56189608,28.18131102
116.57403228,23.24191828
116.57624742,29.81326433
116.57751006,41.89072225
116.5782821,22.05451924
116.58088421,29.72640245
116.590828,27.32531785
116.60814861,29.70698305
116.62078423,27.66628277
116.62986219,27.75809982
116.63965568,19.83001617
116.64154115,27.67608119
116.6459257,19.10876943
116.65351486,18.97206545
116.67441889,18.83456618
116.6785509,83.64454141
116.68089821,38.91436024
116.69082785,19.09845884
116.71800501,19.15052343
116.7745564,43.33903283
116.77810916,38.21997446
116.78912412,18.84026641
116.79560292,23.18470496
116.7963678,18.94529542
116.8090194,42.81211105
116.8313769,35.8806564
116.83190662,32.23766559
116.83801371,31.87509396
116.84108309,18.17058799
116.85070851,22.43308179
116.86250083,19.0115212
116.86412242,17.91210203
116.88653793,18.21663706
116.89128043,23.3708095
116.91982977,17.84448483
116.92466354,43.91008385
116.92710247,35.89952985
