RA,DEC
0.01471336,20.15233973
0.12115977,33.93707328
0.34406573,2.7998524
0.41483211,2.64957762
0.47801528,2.75714923
0.57205116,26.71705262
0.62842794,33.33833923
0.664713,31.54560908
0.75450983,33.26875606
0.83437173,32.76335158
0.87961513,19.20939972
0.94199071,31.87136502
0.95564266,23.78214543
0.95592106,27.31408831
1.03331187,30.74625658
1.12755718,-0.59913211
1.29077835,25.67027969
1.31085566,9.79832424
1.35583559,19.16951491
1.40391238,-0.50335145
1.43293681,18.60773434
1.55495735,25.31652642
1.58062817,19.62298585
1.6072458,28.39427472
1.91957877,35.92964349
10.12203921,-0.95005203
10.2040162,30.99468883
10.41931373,-1.17917522
10.44889852,28.12925197
10.84222849,0.47880237
10.85140933,33.6084944
10.96106597,21.74317944
100.84773173,36.20653907
100.86419069,-0.38356255
100.97469514,0.50563592
101.22609532,-0.85490114
101.54512763,-0.70403848
102.3102123,37.23297751
103.20688464,16.98239686
103.27593455,17.226711
105.33662362,12.14157034
106.86154454,12.66824431
109.53159567,-0.42134166
109.62270181,1.00195721
109.67006277,1.28922645
109.73172621,-0.40956164
109.73766389,0.55752779
109.75381511,0.42060804
109.84589545,-0.27484909
109.94884361,-0.3486597
11.07794116,30.15824814
11.14709655,-1.20398579
11.15302377,28.10684851
11.17243732,18.94416355
11.41006364,23.92679204
11.50661106,25.12240575
11.55024708,25.09682686
11.55800259,24.75297565
11.77491912,35.76192304
11.89820446,26.8896586
11.98666539,23.1319831
110.18833364,0.49804849
110.24645369,1.36487181
110.24749478,40.99863999
110.25178906,-0.40855161
110.26476461,1.36921089
110.26842108,-0.44481866
110.56341131,0.53653609
110.59355748,0.13735613
110.61854393,-0.36001186
110.64508125,-0.39571023
110.73099408,-0.6996865
110.85977802,0.10701425
110.88432255,39.5371009
110.90996247,0.41780677
111.20483662,39.41618847
111.29389948,40.74246394
111.57799971,41.34840618
112.16498921,43.65252993
112.80967183,24.40916611
112.81099964,36.45941005
112.90485213,21.20044489
112.99235734,29.5706938
113.07818614,40.82800433
113.23344391,25.12466933
113.29987405,45.84724108
113.3253484,45.4494342
113.34499241,44.20898859
113.35048034,34.60271196
113.55729782,17.05185676
113.60237278,40.91882846
113.65362585,16.32458441
113.76978921,44.47354637
113.79514782,40.69065252
114.17720105,17.86719476
114.27340245,45.71957483
114.73634275,33.61919881
114.85282507,27.06305055
114.90079758,18.78672235
114.92886486,17.86987914
114.94674526,36.3534155
115.23890078,46.10093731
115.37073024,22.53912362
115.50251541,38.29668308
115.51268303,41.70398673
115.61934162,40.13359848
115.73927075,18.29860509
116.11217055,42.19477996
116.11538332,42.42083712
116.13379089,36.01855211
116.29387834,49.47346231
116.33483163,25.01653644
116.41061064,32.26634549
116.4255403,29.78565346
116.58443571,23.04435381
116.60361407,22.54745788
116.6941935,22.84492943
116.70414906,22.80840048
116.80008106,22.63419701
116.93178899,17.487421
116.98806964,36.65042885
117.01636981,22.79885479
117.05235674,48.18017492
117.17627331,42.01065714
117.17680339,22.09012231
117.19288741,23.25243283
117.27816475,24.13895119
117.28558602,41.56668827
117.40219889,21.88182214
117.45480055,25.29358284
117.52198832,21.95009698
117.55468787,22.7421398
117.61126564,23.59499861
117.6329636,45.02925268
117.63356893,23.76719129
117.63631311,23.39794204
117.66524161,23.79248021
117.6944641,24.32143245
117.70675826,21.86721805
117.707742,22.79680501
117.71782222,24.44433356
117.74053906,23.82976742
117.75708294,24.09983781
117.77690505,21.96583902
117.7855148,22.14279771
117.79051152,41.83439132
117.7940369,23.67907489
117.84558691,22.48217066
117.85839689,23.01281594
117.86087826,28.75911121
117.86454465,23.42068019
117.86968024,26.41567853
117.89499496,22.81515939
117.89945599,41.81941153
117.90308139,24.3708037
117.9463808,22.3439653
117.97247002,23.76956311
117.98224037,21.88389417
118.04822577,23.00321208
118.05194443,14.01965117
118.11737226,22.38236953
118.13219334,22.22964177
118.13256367,22.08761391
118.15097735,23.52330473
118.22606561,28.57526571
118.32564392,22.52164233
118.35141261,22.91112507
118.36798242,23.90281783
118.37691531,22.63398257
118.37867897,22.58655572
118.38904081,22.74938691
118.39093708,22.02182966
118.51550458,53.39564927
118.5603422,23.55778138
118.57984491,24.20109051
118.58523894,22.8455981
118.60586857,-0.25290045
118.62643688,24.33023488
118.62983083,48.74648789
118.63892363,23.81260821
