RA,DEC
0.21865304,-3.91171347
0.29073712,-3.89891668
0.29313974,-0.01317245
0.32358858,29.5742239
0.34208121,-4.67342731
0.44508992,-0.58111744
0.45841746,24.34269004
0.51224388,-0.49967826
0.54932526,24.03258874
0.61512624,-0.47531689
0.70655616,-3.79185821
0.74388533,-4.83920041
0.74963085,0.07325403
0.75655997,-5.10667875
0.76465635,28.92820253
0.7730477,24.11619947
0.79304859,-5.12146886
0.8093151,0.06016935
0.83866784,24.10675772
0.94001731,24.48343385
0.94173271,24.34650288
0.98234342,-4.17396953
1.01233822,-0.97970983
1.02351874,0.39145964
1.02766521,-1.03089584
1.02922659,0.03587419
1.04828058,-3.94068194
1.17565944,-1.14653189
1.19153745,-4.76314747
1.22222136,-4.92204451
1.25093587,-4.5413588
1.28806418,28.91731867
1.32993231,0.01042069
1.36854265,-0.01729183
1.42833763,28.93706809
1.4461844,-0.59681294
1.50212126,-4.21009441
1.50720985,-4.29742813
1.50751325,26.10991882
1.51262041,24.99784581
1.51509215,24.46844383
1.53118184,-4.17875229
1.56596125,26.02098779
1.62390685,27.60902475
1.62577759,27.59015433
1.64380401,24.05648188
1.64574236,27.59159254
1.66148678,28.90501925
1.69717813,-4.1691261
1.71683138,-0.9399454
1.83073026,-4.10831918
1.87535898,-0.80211792
1.90686358,24.77487846
1.91819999,-0.45319485
10.00152665,0.98908102
10.07282026,0.84727045
10.12147378,0.84348184
10.13263469,-0.14246354
10.15039823,-0.04965473
10.20560929,-0.15116723
10.21247871,-0.07176529
10.2663096,14.21584923
10.26950984,14.26068263
10.29199609,14.10819984
10.29790336,14.289334
10.35690827,14.26557154
10.43108488,14.08147079
10.43324989,30.10305753
10.47150661,15.11950209
10.48854214,15.11327804
10.48907936,15.02931331
10.49274791,0.72657537
10.50252359,0.40313054
10.50983899,-1.03095951
10.51723094,13.68797437
10.51889565,-0.77830044
10.52477944,13.80600362
10.54144666,0.79325891
10.5637112,15.13600933
10.59536263,14.29836399
10.59597438,14.51806484
10.59724235,14.6443369
10.63288778,14.53765703
10.69968804,14.14998017
10.80849197,-0.46458267
10.82059009,14.29635429
10.85017906,-0.57031152
10.85903229,0.73131549
10.86748286,15.27422161
10.8693863,15.28327532
10.8708971,13.898249
10.87881364,13.94486798
10.92803212,0.82538674
10.98019137,0.78252743
100.06153812,-0.7880804
100.09322561,-0.85784672
100.35450312,37.6829416
100.37415155,38.03887077
100.42410163,37.29627305
100.50832285,0.46425579
100.51321271,0.52119288
100.51613838,0.98693874
100.54810636,0.87129628
100.57753885,0.98353601
100.61300306,-0.71503044
100.64911952,-0.8108566
100.72593288,37.99008634
100.74394189,-0.79662311
100.84367138,-0.77229814
100.85539789,-0.86388162
100.86190113,-0.78646127
100.88148856,-0.76594226
100.95001806,36.26891819
101.01525663,36.3046494
101.21470314,28.42217887
101.57764186,37.35375136
101.62225286,37.20331585
101.65872114,37.22659614
101.67412671,-0.77718628
101.6984236,-0.68301502
101.71203577,37.50523876
101.7292687,37.45523375
101.79685015,37.52248628
101.80321791,37.47590093
101.82869742,37.52228313
101.88256946,37.80800721
101.89796411,37.79714362
102.00753028,37.03512311
102.0166695,0.45870543
102.06601152,38.43238342
102.27381727,-0.42261907
102.35178758,38.48726673
103.04881395,37.74729634
103.07331006,37.82791496
103.19090341,28.91245787
105.08738616,11.34462957
105.09035395,11.48875823
105.26396922,12.95932718
105.44884435,13.75741043
105.47486934,13.59144771
105.91087397,13.54656443
105.93667197,13.41260107
106.00394229,13.48749904
106.01904655,13.50563766
106.31904646,12.20327318
108.57856957,38.74341609
108.71860975,38.68649603
109.12993962,40.0827849
109.18107657,40.08165938
109.18419402,40.06415744
109.18443178,40.11709477
109.21072421,40.10993983
109.59328974,39.52493291
109.65985475,40.56605823
109.78702498,40.01436167
109.90712601,37.14686938
109.99335861,37.18584255
11.0022035,0.70438353
11.02291388,0.94376211
11.03731353,0.47308388
11.10239675,-0.04672798
11.1387211,-0.99391256
11.14822254,-0.01020125
11.29802355,0.17724287
11.31323751,14.74960601
11.36722386,0.09644046
11.36958454,1.14630102
11.36959404,1.19343064
11.37044982,1.19688895
11.37686341,14.8743653
11.38060965,-0.28783531
11.39337949,1.1958077
11.40143933,14.91141896
11.41374856,34.26061947
11.44960653,15.92371437
11.48056777,-0.41409967
11.48164939,0.26708131
11.4938273,-0.16035063
11.51931957,-0.99756528
11.52328458,15.84964907
11.53033993,-0.90079927
11.53757433,15.87295532
11.54412593,-0.8468761
11.55388103,0.28180827
11.5599326,-0.90730618
11.58096064,0.38915489
11.5831831,-0.94840318
11.60071251,-0.97204948
11.61352091,0.35222306
11.62516289,0.73022324
11.63186897,-0.9792984
11.63491691,-0.98928207
11.63959824,15.90696798
11.65677089,0.26837013
11.68333711,0.76785947
11.69478052,-0.73190215
11.70530806,-0.76105408
11.72747796,0.29941719
11.7308299,-0.97372408
11.73089205,0.30315728
11.7449853,-0.85343663
11.75370432,0.77492536
11.77630681,-0.83762017
11.79531299,24.47115583
11.83059129,16.02545537
11.84186565,24.09674347
11.8515523,16.00655554
11.85964725,33.90971077
11.9681308,13.93351917
11.98737201,25.35923887
110.04723634,37.10470271
110.06140982,41.27491586
110.25406543,36.99062595
110.54362827,39.91160688
110.58138285,37.38777145
110.63539636,37.49280343
110.69746927,40.14565775
110.73479962,38.99729865
110.85080473,36.63769432
111.02703748,37.72422138
111.07731323,41.05873612
111.37389626,39.04380554
111.71169365,39.72813654
111.77669046,15.21140657
111.93128408,32.20292796
111.99680307,14.92467764
111.99757497,36.48003627
112.01912387,15.25828674
112.09961291,37.46247875
112.15849079,37.34974735
112.18757283,36.54278189
112.22136887,41.47936314
112.29718797,38.56067497
112.49236055,16.04139704
112.53367227,37.78348992
112.56750321,40.65167004
112.64194898,16.33385265
112.65231552,41.15236598
112.71444238,16.37041065
112.82476605,42.10516974
112.83396697,16.5361555
112.85640164,38.34573979
112.98468135,15.11424575
113.06158346,15.06218687
113.06727561,43.38720783
113.0842562,17.20449807
113.14474272,16.68664439
113.15422187,36.92275948
113.16172021,16.77893996
113.16693256,17.0744181
113.18081054,43.39396339
113.21677139,27.53611005
113.25946924,27.55471652
113.2671632,27.47321069
113.29518598,27.35230022
113.39644023,40.32856343
113.4944942,27.15766974
113.61669087,16.53144943
113.62410108,36.77641961
113.65784246,27.71268365
113.67036446,15.39150257
113.67437232,40.46515366
113.6837916,16.44257425
113.69412233,43.74782077
113.72710604,40.13320325
113.75883657,22.29873614
113.76790535,22.53033141
113.76856819,40.76427946
113.78532476,20.37005984
113.84633136,20.91362539
113.89903628,27.9078552
113.93811222,43.45492238
113.98534165,43.39896218
113.98972769,43.63096881
113.99414306,21.75215137
114.01419915,36.67105987
114.05093843,20.44303681
114.05222781,43.52556105
114.06699214,37.27715232
114.08321123,40.44038361
114.09897749,43.54405481
114.12394821,21.79215657
114.1517177,22.56804645
114.17970077,21.62270226
114.23627469,27.03295314
114.29516138,26.45771076
114.3201614,43.25811596
114.32374254,39.98285774
114.38136312,21.64146725
114.38196227,43.77410733
114.39737192,40.91543826
114.4496815,26.89654624
114.4524482,43.15991399
114.45955972,21.67100784
114.46142067,47.11290314
114.50040604,15.67965946
114.52368886,27.4749313
114.54320887,44.02901003
114.56263559,21.08960722
114.64892801,38.14884944
114.65713414,27.04262736
114.66635686,28.40786647
114.67787957,27.08527856
114.71676956,18.50443055
114.71760864,27.06478811
114.73096165,18.45304205
114.73875004,27.00845682
114.74637541,27.04199036
114.7546949,27.01602222
114.77190129,27.07561833
114.77548404,18.03752794
114.79080674,26.9655604
114.79257305,40.45496078
114.81216672,64.87896113
114.82147907,20.42287414
114.82761426,44.51912911
114.85045962,43.11460422
114.86518124,18.4493487
114.92310581,21.39654554
114.92464251,18.01475506
114.94415282,21.74567662
114.95310495,21.43759727
114.96698773,43.19563316
