RA,DEC
0.02330882,1.11645
0.0382015,0.87257788
0.06048266,20.13066165
0.09931069,15.43489491
0.11073052,1.63016787
0.12678849,0.80597022
0.12978198,0.68568957
0.25630494,0.06512732
0.30580684,-0.10457176
0.61924352,0.0429369
0.6240248,-0.42949013
0.65210439,-1.01316452
0.6844923,0.07905635
0.68878471,0.17400418
0.70887599,24.85805016
0.7110326,-4.84488045
0.72933025,-0.7410976
0.75659222,0.05062947
0.76372059,0.1581281
0.84172791,-5.10617691
0.86467659,-0.9657707
0.89728565,0.04641789
0.89844132,-1.00684605
0.91919382,-0.87939633
0.95433677,0.88670568
0.98723004,-5.05911374
0.99398821,-1.01252972
1.01921326,0.19989953
1.16708303,-4.16406266
1.17949265,-1.23687627
1.2113965,0.56508285
1.21846663,0.20289804
1.22833092,0.43039651
1.25704095,0.97099593
1.27272516,0.44151046
1.30675542,0.10740777
1.31647596,0.18941775
1.33349049,0.62496148
1.35129051,0.86888094
1.3885266,1.81538694
1.43921006,-0.0265384
1.45196999,-0.15057368
1.4753602,-5.17023709
1.49058827,-0.60045364
1.5223038,-0.47573269
1.52989371,-1.2378339
1.56374905,29.90799178
1.56723905,29.46883432
1.57917609,1.19576981
1.61827492,-0.85718043
1.63277459,-0.50335781
1.64869535,0.09865656
1.65425614,-0.5260971
1.68119649,-0.45836778
1.69047517,0.57443496
1.70325957,-0.8913511
1.7714593,18.80258208
1.78073496,-0.86999155
1.83813569,-5.04055543
1.85259428,-5.23637848
1.93624688,-0.44854555
1.94224741,20.88132674
10.00192189,0.95696298
10.00567513,0.9685374
10.01028508,0.84402879
10.01681483,0.88031558
10.03116667,8.49059044
10.0321537,0.94156279
10.04669625,0.90501301
10.05377823,0.87959875
10.10360578,0.93397244
10.11262059,7.74276059
10.13349565,-0.17663322
10.14482231,-0.20170871
10.15204258,-0.09790503
10.18453969,-0.03795781
10.19868136,-0.09036786
10.20281944,-0.11749722
10.25579837,-0.13100532
10.26215074,14.12549891
10.27405714,-0.05011186
10.2750108,-0.15747708
10.29376797,-0.94210499
10.33580775,-0.23532793
10.35504603,-0.25537116
10.37196415,14.02165681
10.41339257,-0.33228411
10.42133471,0.82512089
10.42165447,0.73536387
10.43226424,-0.90811247
10.43440224,0.39322487
10.45022137,7.17208197
10.48166527,0.36546541
10.48222151,13.78478457
10.48939395,-0.83295662
10.49765993,0.24180973
10.51242496,0.69427389
10.53431184,15.05162512
10.53797908,0.98818168
10.55310282,0.70572722
10.55371599,29.36983419
10.58506696,-0.66619751
10.60387512,14.28217199
10.60958755,-0.68269703
10.61544442,-0.80366017
10.61603294,-0.82681995
10.63038331,16.10141271
10.69595037,16.0880371
10.71364416,16.0719737
10.74696899,0.32315751
10.77222873,-0.5848454
10.78204989,-0.53054611
10.81411611,0.27981943
10.82474229,14.21283492
10.8255618,0.3991855
10.83142248,13.93642871
10.87329821,15.28606131
10.94332793,14.04723963
10.96282221,0.01273547
10.99211108,0.12233466
102.61540426,37.15194928
109.60613607,39.511944
11.01785642,0.84142534
11.01994845,-0.76771989
11.03261297,-0.66267418
11.04669078,0.19654085
11.05320366,0.95788022
11.06496104,0.97783584
11.0842044,29.34576076
11.12194078,-0.98410489
11.1368825,-0.45468385
11.14101239,-0.12702265
11.14414236,-1.01089292
11.14598473,0.02770746
11.19595574,1.7982226
11.23693911,0.14054591
11.25940298,0.07986306
11.26800092,0.82466276
11.28853504,0.19163717
11.31587301,0.01393082
11.32104495,0.02956857
11.32519549,0.17176967
11.32843196,0.06636813
11.32898235,1.07381082
11.35865443,0.04684257
11.35930661,0.05239207
11.37020456,0.99458006
11.42413536,-0.26672826
11.43205114,15.96055914
11.45167223,0.86294832
11.4577924,-0.28203586
11.46954397,-0.34986348
11.47914214,0.34786748
11.48243512,0.40771131
11.48615549,-0.20542965
11.48759777,0.29719467
11.49845262,0.30983975
11.49928057,0.33987395
11.50986126,-0.11233695
11.51573188,-0.0281107
11.5188659,-0.88502591
11.5203204,0.32206941
11.52905642,15.86641628
11.53641644,0.23432636
11.53831974,15.86716921
11.53936981,-0.89563605
11.55689061,34.92155795
11.58022554,0.2597553
11.59394536,0.40187171
11.59614504,0.40485257
11.60922186,-0.88984128
11.61355624,0.31959438
11.6194274,0.38599759
11.63072309,0.25944679
11.63143805,0.64322753
11.64116001,-1.02876974
11.64688001,0.38361738
11.6476486,0.76350793
11.65271805,0.23981227
11.66454657,-0.91678331
11.66988766,0.39094447
11.6733452,-0.91284631
11.68432448,0.75863168
11.68966011,0.25433984
11.69902279,0.22449328
11.70968521,-0.73758183
11.71030021,-0.87026805
11.71867043,0.24682729
11.72716426,-0.96718333
11.72807629,-1.00078531
11.73294518,0.3572201
11.73321981,-0.71390774
11.75893046,-0.78666797
11.84663268,16.02775115
11.94143746,28.76907484
110.05589765,41.30231392
110.7127442,38.99575087
110.91296746,39.27230342
111.04697759,41.34073834
111.21996368,41.12422256
111.42722812,39.15577887
111.87301613,44.4799096
112.19304615,15.74992317
112.23527697,41.0295989
112.23678509,27.45152996
112.30101707,41.81044991
112.50411839,43.62900099
112.63836376,41.49620834
112.6472875,43.43913805
112.78779566,25.81397124
112.87392403,43.03091437
112.88342024,41.47849679
112.88471215,43.10162431
113.0588223,27.07638694
113.1249988,35.46915877
113.16243821,44.15589521
113.16779318,43.29539231
113.31091209,26.1038241
113.34632367,27.33232703
113.35026756,44.09339928
113.3601987,36.90801468
113.53561193,27.02625892
113.54819956,26.91659058
113.63382885,31.54001346
113.63853968,27.69176618
113.64050703,27.72607946
113.64924983,27.74013469
113.6507316,26.96380717
113.66941573,27.79722905
113.75562729,22.05795456
113.76139772,21.93478776
113.77292624,43.42573767
113.82115117,20.68052085
113.84897453,27.06219755
113.87966903,27.69417542
113.88362533,37.14258754
113.90247933,43.30911892
113.91170299,26.75618469
113.9152116,43.32685737
113.93249507,26.72555751
113.9503397,43.42284127
113.95764955,43.06597699
113.96053441,43.09751321
113.97126061,26.69989212
113.99518514,38.42646734
114.01287327,38.65685847
114.022095,27.06771162
114.02717129,20.51872408
114.05470805,39.03422931
114.06411535,27.06591237
114.06651328,27.0342111
114.07539716,20.56067135
114.08397085,27.03870882
114.09143049,40.3745449
114.09895508,43.46450044
114.10250311,43.41319593
114.10544237,27.00456497
114.11076184,43.29519757
114.11777922,36.80038467
114.12118448,46.08552465
114.14269144,27.02719261
114.15445931,32.20826154
114.17584166,30.61972817
114.20069106,43.29098717
114.22247058,47.17511974
114.22812699,46.02541564
114.22977656,45.9614361
114.23230235,37.67513616
114.23868964,39.38510073
114.25035178,44.9441806
114.25091022,44.49108781
114.31201487,39.07707576
114.35531065,26.44720512
114.45301564,44.01984079
114.47555434,44.93135799
114.48083834,38.985931
114.51061955,45.84196838
114.53858204,36.51527807
114.54239707,37.06234525
114.57448408,22.41126809
114.58008779,36.57671678
114.58818093,27.05136326
114.59715204,43.94023201
114.60058623,43.18088888
114.61211853,26.76068025
114.61865087,27.07989372
114.62775063,21.73617313
114.63606942,22.48292849
114.64048426,27.03265888
114.67753279,36.42028134
114.68010952,26.99108747
114.69866608,28.31614899
114.7009654,27.02601359
114.76877551,26.99111998
114.78821031,27.08568932
114.81393468,44.62940234
114.82638688,30.79228695
114.84010708,27.08575318
114.85919132,43.98862823
114.86163853,27.05353845
114.86906406,44.75019636
114.87659754,44.50954564
114.89200885,22.1992857
114.89243562,44.03500717
114.90485137,36.97259465
114.90834777,26.48846121
114.91389626,26.53758263
114.91585908,37.15211419
114.94595412,28.74530508
114.98326636,22.02723079
115.01356054,22.59531237
115.01439618,36.83575723
115.0220921,49.56421916
115.02837635,43.6790458
115.03546821,44.81850199
115.08879809,44.64779471
115.12387554,42.7993929
115.12815043,21.27846769
115.12847392,22.33680101
115.14629164,44.77946434
115.19060521,45.58922059
115.19379367,45.60232664
115.26945569,29.3451901
115.28755693,42.84121014
115.29481376,21.14897826
115.31756809,43.91778385
115.37558126,45.58489143
115.39849471,44.9129193
115.41228321,38.58683092
115.45502779,44.07697758
115.46827623,22.32054798
115.47753216,43.00035313
115.47997204,44.16782047
115.54880052,45.36142938
115.5981642,28.90577838
115.63839539,24.92599488
115.66579134,24.79277182
115.66829693,29.35882142
115.67797367,48.69442334
115.67877248,29.49887558
115.68706761,45.23241005
115.71363143,43.87253492
115.72119751,38.18414134
115.7217376,44.95539811
115.73160021,44.88195977
115.76110999,50.19525918
115.77310379,44.92695952
115.78935049,44.83169222
115.82186784,39.08296982
115.84179232,37.2901825
115.90567538,25.27862933
115.90611433,42.50868871
115.92426134,29.50808475
115.93191243,38.54082922
115.96186717,43.74201384
115.96457655,38.34118424
115.96492243,45.5374795
115.97836592,44.6675711
116.00598432,43.05962328
116.03184758,43.76299052
116.04430626,39.97523537
116.04716214,28.50849737
116.06327955,36.08013648
116.06762593,30.00471275
116.08472844,38.81041838
116.10780344,39.99476474
116.14588605,29.74612292
116.15611404,29.65661441
116.17954749,38.58590733
116.18424442,28.72978707
116.1933863,43.8384007
116.23990015,18.98981455
116.25727204,18.93663488
116.27475017,42.07270702
116.30773927,42.13858716
116.30875454,21.39914924
116.31257735,35.12610554
116.33293511,29.56668624
116.34071244,32.27738527
116.35514586,29.55854068
116.3814669,30.06714143
116.49039438,27.37728569
116.51653781,35.99588533
116.52701952,37.91535349
116.6047382,30.60422924
116.64395658,19.156545
116.67466255,43.75203042
116.68565759,38.28265222
116.70129962,18.97118079
116.70699345,38.21767791
116.71604196,43.33122894
116.73645778,38.91054119
116.74040394,46.69254761
116.74619041,44.75159871
116.75389586,21.36359405
116.76135781,18.82551266
116.76673757,51.15732875
116.78556388,35.03492104
116.81935249,46.73994072
116.8371065,43.1830476
116.89566791,27.88501398
116.89748265,35.95005086
116.9078938,43.72988219
116.91811642,50.69496694
116.91969644,27.82294146
116.95756301,27.87286776
116.97349765,43.80445192
116.97675838,34.49547064
116.9874623,48.28585271
116.99367436,17.83365343
117.04238226,18.68667832
117.05222122,40.60597535
117.05504973,37.58326646
117.05686262,21.55889474
117.08083477,35.85907714
117.08376443,43.92997851
117.09830104,44.68278212
117.10183357,19.91005965
117.10732014,48.89774103
117.12222221,43.95802208
117.16637555,31.43903315
117.18013321,38.70518977
117.19074565,44.61924831
117.1970672,18.60011633
117.20128779,27.68879489
117.20484908,21.65149101
117.21667974,43.42200557
117.22246275,43.32759939
117.24429611,43.33979424
117.27628097,43.3747654
117.2826612,42.86040754
