RA,DEC
0.29855217,0.061838
0.4162311,-11.21037258
0.9541731,16.22503254
1.53284624,-1.05585611
1.54268178,11.37456797
1.79390358,11.76372537
1.87828898,8.57498292
10.00592373,0.98576151
10.24194309,19.75203967
10.52990848,0.87786292
101.00331859,37.33964135
104.44093068,83.83291583
104.78112149,66.82500316
109.26134904,39.88990512
11.55095208,-3.71642265
11.77427857,-0.80548452
11.95509963,5.18698042
11.9803175,25.34088463
110.10636371,37.06008344
110.37020226,39.95024551
110.4685069,40.52218722
111.00722429,41.0558066
111.58841147,36.55320745
111.86004342,44.8102897
111.93083005,44.42613302
112.81224884,38.92513058
113.19577396,35.47624963
113.39248244,37.45997468
113.40666422,46.77299036
113.65719701,28.61884626
114.42290989,47.07254781
114.4852054,39.13146567
114.56746222,41.46068918
114.70609275,48.85740069
114.73744757,40.32833137
114.90924933,21.45849811
115.09927871,65.57186049
115.51498478,49.55939545
115.73872135,39.10501936
115.7799478,33.0138473
115.83467448,16.13133941
115.93790843,38.83153162
116.20325506,45.98799694
116.24482245,38.05044423
116.38707205,22.9872911
116.47931249,23.31203289
116.55484196,33.55210469
116.63333927,41.86949036
116.74512493,23.63897977
116.81999695,42.81362337
116.85482945,65.21698006
117.07940435,47.43440355
117.1828351,32.89685133
117.22527749,13.63523464
117.31517455,43.38164796
117.31910742,24.82847678
117.39808459,14.37569834
117.55447048,49.79535445
117.59395666,42.93771163
117.72153623,47.59754486
117.83845143,19.34075932
117.87084865,46.02531308
118.12883834,44.79725497
118.14700042,16.15362642
118.20813239,30.99311836
118.22769145,18.34623323
118.52228276,13.4523996
118.72021566,19.81861611
118.79709226,9.55256168
118.92057695,40.154982
119.02650264,42.27030378
119.03515024,49.04436634
119.14073356,16.56639685
119.30678931,54.16146644
119.32858291,51.82740541
119.38409412,18.72480657
119.38795933,23.97447144
119.48788198,12.68686115
119.49499351,36.98532322
119.65280337,32.58968515
119.73942262,9.43332053
119.93741556,37.25087924
12.77927015,0.70902726
120.02996882,52.8593062
120.05093482,32.02951132
120.05455205,26.45073539
120.12332264,55.4811045
120.33154432,25.38697595
120.53113217,30.3592882
120.59324761,18.95218433
120.67065948,28.75950112
120.74918944,41.24390789
120.81504835,50.72974099
121.00510884,37.56043604
121.22390442,30.2686727
121.24813253,35.22432987
121.26140783,37.35825668
121.60148447,33.21281405
121.7510312,50.92114361
121.87732315,12.30762818
121.90022669,28.2163864
122.01182067,47.98045668
122.14072945,18.03930697
122.33164054,39.27272934
122.34123539,19.40001359
122.63045133,45.30906168
122.64345627,17.0003324
122.72161741,43.47533491
122.74457944,50.19612525
122.76359188,36.77117992
122.79161337,-0.567178
122.8128544,27.1060557
122.83792352,15.0780265
123.2668242,-7.21848095
123.32215113,52.36317855
123.37421351,38.55747473
123.45561476,47.97564101
123.5801641,13.40914952
123.62317024,21.86124824
123.76138806,47.86199014
123.88786,26.77955916
123.94201805,24.76758109
123.99946717,23.27044093
124.03990711,49.16789904
124.05714067,32.39186548
124.07571367,13.27236176
124.1061475,-0.47096717
124.16687823,30.94237826
124.34058297,1.74196163
124.41665217,16.52143363
124.50669536,25.58253411
124.58508066,27.09240874
124.76213584,24.21094008
124.82787166,54.92962449
124.88664761,53.00220416
124.89511872,55.84127037
125.39558513,17.6553883
125.43866285,45.98982838
125.5020518,27.51399961
125.71563745,16.52589956
125.84080551,24.86122639
126.03679941,25.20968762
126.24360087,-0.23114199
126.40852917,18.08964687
126.42980543,43.1114728
126.4479907,17.80510579
126.46207286,15.55221787
126.55510241,39.64618429
126.59902281,47.80418213
126.77305175,31.50230389
126.8519144,58.98102343
126.95588826,44.75134292
126.96277865,41.15718075
127.00848018,40.6691562
127.43645012,13.38403253
127.69672867,50.95950807
128.08313327,15.62443726
128.32251201,53.22652189
128.32403511,2.83774621
128.55018696,51.61878372
128.69433297,44.7434216
128.76983452,9.01992976
128.90469298,6.59284883
129.04204474,16.09965789
129.12103222,19.32760841
129.12870556,11.7549079
129.22795733,50.22498048
129.4467997,19.83220188
129.87500463,39.31765971
129.89087932,22.67188706
129.89961024,3.14466896
129.92810778,55.4107052
129.99973312,14.48277401
13.39806811,22.30446695
13.68487876,-7.04907465
13.95124923,24.22213146
13.96622539,-1.07289969
130.35601287,61.05574714
130.39815048,58.23010652
130.4864945,40.25349513
130.59641786,37.98338131
130.96188182,36.2387757
131.00531677,52.22785024
131.0518694,34.4578357
131.05693586,-1.46882916
131.09636626,7.88506544
131.10031556,61.55273498
131.28414149,31.73380311
131.30058338,20.51367441
131.49052794,1.14557881
131.5392258,34.25011237
132.27447733,24.75220551
132.54332425,63.66222907
132.8591184,0.12777111
132.95229841,9.84310269
133.0363449,29.14381546
133.15484712,20.90210352
133.25855754,17.81197263
133.46573955,7.07148047
133.5728661,32.10520605
133.58988928,23.19913097
133.59361825,-1.50935943
133.62460525,49.24270488
133.90952425,25.90858875
134.18632816,10.45369007
134.23301377,60.10094609
134.26343184,40.91753068
134.34456997,24.30277626
134.36524234,42.70430723
134.45016779,33.45236902
134.47616186,28.65943012
134.52764492,24.86126829
134.63907067,44.57475703
134.66334034,60.28522234
134.66855356,-1.71360038
134.75278918,33.2245906
135.03873971,18.15562159
135.0995706,23.73145146
135.25993257,0.36761041
135.31545435,29.65417979
135.31935042,30.17645966
135.35438357,33.94633147
135.64587084,39.72526772
135.81417348,20.79549323
135.91554053,10.5369927
135.916311,3.52363449
136.2467063,59.58869165
136.30253159,27.63065293
136.37273864,10.71598716
136.42670771,51.08207042
136.54132749,4.32537743
136.54583565,41.6873244
136.62971395,33.36154017
136.63706893,0.281522
136.84540235,1.77436533
136.94888204,50.96377553
137.08931966,45.72127145
137.26001929,16.20209944
137.37185808,33.97083219
137.43187459,60.97750325
137.48948174,11.18642537
137.49578161,1.1848507
137.59382746,27.47882993
137.68709541,23.67906986
137.75403219,11.32629125
137.83687573,30.88685073
137.88134909,29.08287883
137.90358987,27.87785475
138.06432892,1.33300579
138.14014055,36.39351634
138.34453578,38.02135191
138.64000275,58.21058009
138.64711673,6.79933215
138.7717323,49.17727213
138.78283538,25.51151564
138.80025694,19.1873999
138.82255821,43.55430765
138.86823268,11.69820577
138.87188124,46.83766305
138.88771669,-2.2098352
138.91677992,21.91476971
138.92480285,43.21395371
139.15941023,47.88156007
139.37812285,18.38604876
139.45085906,0.17824184
139.45776941,2.51128895
139.63775743,19.8855104
139.82658162,58.24640268
139.93441693,42.19249452
14.65266483,29.08267997
14.97575038,-0.67982275
140.0522769,56.59172637
140.10034294,8.62952091
140.31146443,22.56304504
140.44897557,16.44202869
140.61524665,32.48788153
140.69082686,21.71083282
140.77172619,34.75789423
141.06089843,9.16117916
141.11560319,26.32301873
141.37780535,50.09375597
141.5104931,40.95514553
141.67757712,22.08218038
141.77122897,11.98189938
142.12732374,56.30326539
142.14158749,14.97506942
142.38781443,41.18275497
142.38796522,30.47372528
142.45879147,49.60410571
142.52833059,31.71623822
142.57210633,20.93320853
142.61902112,27.81988153
143.01935115,12.65227007
143.4287997,7.53155852
143.80293293,0.64921304
143.94387405,11.09137791
143.97658883,-0.6899147
144.04398084,41.21675082
144.21777554,16.08763377
144.31109204,49.2785491
144.57997212,25.62665339
144.77713037,3.90986472
144.83623047,3.5900545
144.90492402,33.95916534
144.93883361,15.34908217
145.11716924,50.79767184
145.1461439,26.21740151
145.18364678,0.79992188
145.25871966,57.19856107
145.39772627,-0.1547301
145.62933553,32.00081278
146.31034908,34.49520846
146.50228263,-0.37630986
146.80138276,5.53279465
146.84372251,10.25656135
146.87238643,34.71731961
146.99547908,9.17005363
147.19988006,34.75364607
147.21031317,55.27546276
